상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
[동원 x 몰리스] 러브투게더 고양이 습식캔 160g x 24입,26400,26400,0,3840,"고양이를 위한 협력 상품, 다양한 맛의 습식 캔 사료",C,1,z,321,C1z321,"동원 x 몰리스 러브투게더 고양이 습식캔은 160g의 캔이 24개입으로 제공됩니다. 신선한 재료로 만든 습식 사료로, 고양이의 미각을 만족시킵니다. 균형 잡힌 영양과 부드러운 질감으로 고양이의 건강한 식사와 특별한 간식으로 적합합니다. 다양한 연령대의 고양이에게 적합한 제품입니다.",
부들부들 손가락 칫솔 2개입,3200,3200,0,2,강아지와 고양이를 위한 부드러운 손가락 칫솔 2개 세트,Z,3,z,322,Z3z322,"부들부들 손가락 칫솔 2개입은 반려동물의 치아를 간편하게 관리할 수 있는 도구입니다. 손가락에 끼워 사용하는 디자인으로, 칫솔이 작은 부분까지 세심하게 닦을 수 있습니다. 위생적이고 사용하기 쉬운 제품으로, 반려동물의 구강 관리를 효과적으로 지원합니다.",
올치 매직 하네스 S,14000,14000,0,1,작은 크기의 강아지를 위한 편안한 매직 하네스 S 사이즈,Z,3,a,323,Z3a323,"올치 매직 하네스 S는 반려견의 편안한 착용감을 고려하여 디자인된 하네스입니다. S 사이즈로 소형견에 적합하며, 조절 가능한 스트랩과 인체공학적 디자인으로 편안한 착용이 가능합니다. 강력한 내구성과 반사 소재로 야간 산책 시 안전성을 높였으며, 가벼운 무게로 반려견의 움직임을 방해하지 않습니다. 산책 시 안정감과 편안함을 제공하는 제품입니다.",
칠면조힘줄 하드본(m),6800,6800,0,32,강아지의 입맛을 사로잡는 칠면조 힘줄이 들어간 하드본 M 사이즈,D,2,a,324,D2a324,"칠면조힘줄 하드본(m)은 중형견을 위한 견고한 장난감입니다. 칠면조 힘줄로 만들어져 씹는 재미와 함께 단백질을 공급합니다. 치아 건강을 유지하고 스트레스를 해소하는 데 도움을 주며, 내구성이 뛰어나 장시간 사용이 가능합니다. 다양한 씹기 방식으로 반려견의 흥미를 끌어주며, 강한 씹는 힘을 가진 반려견에게 적합합니다.",
퓨리나 덴탈라이프 스몰&미디움 독 트릿 198g,10900,10900,0,198,소형견과 중형견을 위한 구강 관리용 트릿 198g,D,2,z,325,D2z325,"퓨리나 덴탈라이프 스몰&미디움 독 트릿은 198g의 패키지로 제공되는 반려견 간식입니다. 스몰&미디움 사이즈로 다양한 체형의 반려견에게 적합하며, 치아 건강을 유지하는 데 도움을 줍니다. 독특한 텍스처와 영양소가 치아 사이의 플라크와 타르타르를 제거하는 데 도움을 주며, 건강한 치아와 입 냄새 개선에 효과적입니다. 간식과 함께 치아 관리까지 지원하는 제품입니다.",
캣차우 인도어 2kg,21360,21360,0,2,실내용 고양이를 위한 건강 사료,C,1,s,326,C1s326,"캣차우 인도어 2kg은 실내에서 생활하는 고양이를 위해 특별히 설계된 사료입니다. 천연 성분과 균형 잡힌 영양소가 함유되어 있어 고양이의 건강을 지원하고, 소화와 면역력 증진에 도움을 줍니다. 비타민과 미네랄이 풍부하여 활력 넘치는 일상을 유지할 수 있으며, 체중 관리에도 효과적입니다. 맛있고 부드러운 사료로 까다로운 고양이도 기쁘게 해줄 제품입니다.",
DTC 오리 단호박 져키200G,4500,4500,0,200,오리와 단호박으로 만든 건강 간식,D,2,z,327,D2z327,"DTC 오리 단호박 져키 200G는 반려견을 위한 맛있는 간식으로, 오리 고기와 단호박의 조화가 매력적입니다. 고단백 오리 고기는 육질이 부드럽고 영양가가 높으며, 단호박은 소화에 도움을 주고 비타민이 풍부합니다. 인공 첨가물 없이 자연 재료만을 사용해 건강을 고려한 간식으로, 반려견의 씹는 재미와 영양을 동시에 제공합니다.",
비타 캣얌 연어 40G,3000,3000,0,40,연어가 들어간 고양이 스낵,C,2,z,328,C2z328,"비타 캣얌 연어 40G는 고양이의 미각을 사로잡는 고급 연어 간식입니다. 신선한 연어를 사용하여 풍부한 오메가-3와 오메가-6 지방산을 공급하며, 피부와 모발 건강을 돕습니다. 자연 성분으로 만들어져 안전하고, 고양이에게 건강하고 맛있는 보상을 제공합니다. 소량 포장으로 신선함을 유지하며, 간편하게 제공할 수 있는 간식입니다.",
챠오 츄르 가다랑어포 4개입,3000,2400,0.2,4,가다랑어로 만든 고양이용 간식 4팩,C,2,z,329,C2z329,"챠오 츄르 가다랑어포 4개입은 고양이의 입맛을 사로잡는 맛있는 츄르입니다. 신선한 가다랑어를 주 원료로 사용하여 깊고 풍부한 맛을 자랑하며, 부드러운 질감으로 고양이가 즐겁게 먹을 수 있습니다. 소량씩 제공할 수 있어 간식으로도 좋고, 약물 섭취 시 보조제로도 유용합니다. 고양이의 기분을 좋게 해주는 특별한 간식입니다.",
반려견용 치약 70g,5000,5000,0,70,반려견 구강 건강을 위한 치약,D,3,a,330,D3a330,"반려견용 치약 70g은 반려견의 구강 건강을 위한 필수 아이템입니다. 특수 설계된 저불소 성분이 포함되어 있으며, 강아지의 치아와 잇몸을 효과적으로 청소하고 박테리아를 제거합니다. 상쾌한 맛으로 강아지가 치약을 쉽게 받아들이며, 구취 제거와 치석 예방에도 도움을 줍니다. 매일 사용으로 건강한 입 속 환경을 유지하세요.",
포켄스 덴티페어리 디스펜서 M 46개입,35000,32000,0.09,46,중형견을 위한 치아 관리 제품,D,2,z,331,D2z331,"포켄스 덴티페어리 디스펜서 M 46개입은 치아 건강을 위한 간식 디스펜서입니다. 이 제품은 반려견의 치아와 잇몸을 건강하게 유지하는 데 도움을 주는 치아 관리 간식을 제공합니다. 디스펜서 형태로 사용이 간편하며, 적절한 양의 간식을 규칙적으로 제공할 수 있어 치아 청결과 구강 건강을 효과적으로 지원합니다.",
캣 울트라 프리미엄 연어 캔 156g,4500,3150,0.3,156,고양이를 위한 프리미엄 연어 캔,C,1,z,332,C1z332,"캣 울트라 프리미엄 연어 캔 156g은 고양이를 위한 고급 캔 사료입니다. 신선한 연어를 주 원료로 사용하여 고양이에게 풍부한 단백질과 오메가-3 지방산을 공급합니다. 부드럽고 촉촉한 식감으로 고양이의 미각을 만족시키며, 영양가가 뛰어나 건강을 지원합니다. 깔끔한 캔 포장으로 사용이 편리하며, 맛과 건강을 모두 고려한 제품입니다.",
닥터할리 펫밀크 바닐라,2000,2000,0,200,바닐라 맛의 반려동물 전용 우유,Z,1,z,333,Z1z333,"닥터할리 펫밀크 바닐라는 반려동물을 위한 특별한 간식으로, 맛있는 바닐라 맛이 특징입니다. 고품질의 영양가 있는 성분을 사용하여 반려동물의 건강을 지켜줍니다. 칼슘과 비타민이 풍부하여 뼈와 치아 건강을 지원하며, 소화가 잘 되는 성분으로 설계되었습니다. 간편하게 제공할 수 있어 반려동물의 특별한 간식으로 좋습니다.",
[포비스] 중대형견 전용 샴푸&린스,14000,14000,0,1000,중대형견 전용 샴푸와 린스 제품,D,3,z,334,D3z334,"[포비스] 중대형견 전용 샴푸&린스는 중대형견의 피부와 털을 위한 전문 제품입니다. 고급 성분이 함유되어 있어 털을 부드럽고 윤기 있게 만들어 주며, 피부의 자극을 최소화합니다. 샴푸와 린스가 함께 포함되어 있어 세정과 컨디셔닝을 동시에 해결할 수 있습니다. 향기로운 향과 함께 강아지의 위생과 미용을 챙기기에 적합합니다.",
포켄스 바이비드 약용샴푸 300ml,13500,13500,0,300,중대형견 전용 샴푸와 린스,D,3,z,335,D3z335,"포켄스 바이비드 약용샴푸 300ml는 피부 질환을 예방하고 치료하는 데 도움을 주는 약용 샴푸입니다. 피부의 염증과 가려움을 완화하고, 세균과 진균의 번식을 억제하여 건강한 피부를 유지할 수 있도록 돕습니다. 자극이 적고, 안전한 성분으로 제작되어 민감한 피부를 가진 반려동물에게도 적합합니다. 청결한 세정과 동시에 피부 회복을 지원합니다.",
쉬바 파우치 참치 70g,1800,1800,0,70,약용 샴푸로 피부 건강 관리,C,1,z,336,C1z336,"쉬바 파우치 참치 70g은 고양이를 위한 고급 참치 간식입니다. 신선한 참치가 주 원료로 사용되어 고양이의 미각을 사로잡습니다. 부드럽고 촉촉한 질감이 고양이에게 큰 만족을 주며, 비타민과 미네랄이 풍부하여 건강을 지원합니다. 편리한 파우치 포장으로 신선함을 유지하며, 고양이의 특별한 간식으로 적합합니다.",
폴포 고양이화장실(대),25000,25000,0,1,참치가 들어간 고양이용 파우치,C,3,z,337,C3z337,"폴포 고양이화장실(대)은 넉넉한 크기로 다양한 고양이의 편안한 사용을 보장합니다. 튼튼한 재질로 제작되어 내구성이 뛰어나며, 탈착 가능한 필터와 함께 청소가 용이합니다. 깊은 트레이와 높은 측면 디자인으로 흘림 방지 기능을 갖추어 실내 환경을 깔끔하게 유지할 수 있습니다. 고양이의 개인 공간을 더욱 쾌적하게 만들어 주는 제품입니다.",
[몰리스]프로발란스 캣 키튼 1.5kg,11600,11600,0,1.5,대형 고양이 화장실,C,1,j,338,C1j338,"[몰리스] 프로발란스 캣 키튼 1.5kg은 성장기 고양이를 위한 특별한 사료입니다. 고단백, 저지방 설계로 성장 중인 고양이의 건강한 발달을 지원하며, 필수 아미노산과 비타민이 풍부합니다. 소화가 잘 되는 성분으로 위장에 부담을 주지 않으며, 맛있고 영양가 높은 식사로 고양이의 활력을 돕습니다. 균형 잡힌 영양이 제공되는 최적의 사료입니다.",
뉴트리플랜참치&닭가슴살160g,1500,1500,0,160,키튼용 건강 사료,C,1,z,339,C1z339,"뉴트리플랜 참치&닭가슴살 160g은 반려동물의 건강을 생각한 맛있는 캔 사료입니다. 참치와 닭가슴살이 조화를 이루어 높은 단백질과 필수 영양소를 제공합니다. 부드럽고 풍미가 가득한 식감으로 반려동물이 좋아하며, 소화가 잘 되는 성분으로 설계되어 건강한 식사를 돕습니다. 신선하고 맛있는 식사로 반려동물의 만족도를 높여줍니다.",
ANF 고양이참치새우캔 95G,1900,1900,0,95,참치와 닭가슴살 고양이 캔,C,1,z,340,C1z340,"ANF 고양이참치새우캔 95g은 고양이를 위한 고급 간식으로, 신선한 참치와 새우가 주요 성분입니다. 단백질과 오메가-3가 풍부하여 건강한 피부와 모발을 지원하며, 고양이의 미각을 만족시킬 수 있는 맛입니다. 소화가 잘 되며, 신선하고 부드러운 식감으로 고양이의 기호를 맞춘 간식입니다.",
밥이보약 DOG 빛나는 피모 2kg,25800,25800,0,2000,참치와 새우가 들어간 고양이 캔,D,1,z,341,D1z341,"밥이보약 DOG 빛나는 피모 2kg은 반려견의 건강한 피모를 위해 설계된 사료입니다. 피부와 모발에 필요한 비타민과 미네랄이 풍부하게 포함되어 있으며, 오메가-3와 오메가-6 지방산이 모발에 윤기와 건강을 제공합니다. 고단백 성분으로 활력을 지원하며, 매일 먹이면 아름답고 건강한 피모를 유지할 수 있습니다.",
더리얼 레시피 완자탕,5000,5000,0,200,반려견의 피모 건강 사료,Z,1,z,342,Z1z342,"더리얼 레시피 완자탕은 반려견을 위한 맛있는 완자탕 제품입니다. 신선한 고기와 채소를 사용하여 깊고 진한 맛을 자랑하며, 영양가 높은 성분으로 건강을 지원합니다. 반려견이 좋아할 부드러운 식감과 풍부한 국물로 식사 시간을 더욱 즐겁게 만들어 주며, 균형 잡힌 영양을 제공하는 훌륭한 간식입니다.",
몰리스 냄새잡는 패드 M 80매,19900,19900,0,80,영양 가득한 완자탕 반려견 식품,Z,3,z,343,Z3z343,"몰리스 냄새잡는 패드 M 80매는 강력한 흡수력과 냄새 제거 기능을 갖춘 패드입니다. 대형 사이즈로 다양한 공간에서 사용하기 좋으며, 초강력 흡수층이 액체를 빠르게 흡수해 청결한 환경을 유지합니다. 특히 반려동물의 배변 문제를 간편하게 해결하며, 냄새를 효과적으로 차단해 쾌적한 생활을 지원합니다.",
몰리스 화이트 스틱껌 소프트치킨 400g,11000,11000,0,400,냄새 잡는 반려동물 패드,D,2,z,344,D2z344,"몰리스 화이트 스틱껌 소프트치킨 400g은 반려견을 위한 맛있는 간식입니다. 소프트치킨 맛으로 반려견의 입맛을 사로잡으며, 씹는 재미와 함께 치아 건강도 지원합니다. 특수 설계된 질감으로 치석과 플라그를 제거하는 데 도움을 주며, 영양가 높은 성분으로 건강하게 간식을 즐길 수 있습니다.",
몰리스 냄새잡는 패드 M 80매,19900,19900,0,80,소프트 치킨 스틱껌,Z,3,z,345,Z3z345,"몰리스 냄새잡는 패드 M 80매는 반려동물의 배변을 위한 필수 아이템입니다. 뛰어난 흡수력과 냄새 차단 기능으로 청결을 유지하며, 대형 사이즈로 넉넉한 사용이 가능합니다. 액체를 신속하게 흡수해 패드 위에 오래 머무르지 않으며, 반려동물의 편안한 환경을 유지해주는 효과적인 패드입니다.",
순살듬뿍 치킨말이스틱 30P (300g),11000,8800,0.2,300,순살 치킨말이 스틱 간식,D,2,z,346,D2z346,"순살듬뿍 치킨말이스틱 30P (300g)은 반려견을 위한 맛있는 간식입니다. 순살 치킨을 사용하여 부드럽고 풍미가 가득한 스틱으로, 반려견의 씹는 즐거움을 더해줍니다. 고단백, 저지방 성분으로 건강을 고려하였으며, 간편하게 제공할 수 있어 바쁜 일상에서도 손쉽게 반려견에게 보상할 수 있습니다. 30개의 스틱으로 충분한 양을 제공합니다.",
포켄스 탈취제 은은한 베이비 파우더향,9500,7600,0.2,1000,베이비 파우더향 탈취제,Z,3,z,347,Z3z347,"포켄스 탈취제는 은은한 베이비 파우더향으로 반려동물의 공간을 상쾌하게 만들어줍니다. 강력한 탈취 성분이 악취를 효과적으로 제거하고, 쾌적한 환경을 유지하는 데 도움을 줍니다. 사용이 간편하고, 오래 지속되는 향기로 집안의 냄새를 상쾌하게 바꿔줍니다. 반려동물과 함께하는 공간에서 유용하게 사용할 수 있는 제품입니다.",
헬씨미요 고양이간식 멸치(60g),4900,4900,0,60,멸치로 만든 고양이 간식,C,2,z,348,C2z348,"헬씨미요 고양이간식 멸치 60g은 고양이를 위한 맛있는 간식으로, 신선한 멸치를 주 원료로 사용합니다. 멸치는 고단백, 오메가-3가 풍부하여 고양이의 건강과 에너지를 지원하며, 바삭한 식감이 고양이의 미각을 자극합니다. 건강하고 맛있는 간식으로 고양이의 기분을 좋게 만들어 주며, 영양가 있는 보상을 제공합니다.",
위스카스파우치 구운 고등어 (80g),1200,1200,0,80,구운 고등어가 들어간 파우치,C,1,z,349,C1z349,"위스카스 파우치 구운 고등어 80g은 고양이를 위한 고급 캔 간식입니다. 신선한 고등어를 구워 맛을 더하며, 고양이가 좋아하는 부드러운 식감을 제공합니다. 풍부한 단백질과 오메가-3가 함유되어 있어 건강을 지원하며, 파우치 포장으로 신선함을 유지합니다. 고양이의 입맛을 만족시킬 수 있는 완벽한 간식입니다.",
건강백서 치킨 브레스트 100g,3960,3960,0,100,치킨 브레스트 반려동물 간식,D,1,z,350,D1z350,"건강백서 치킨 브레스트 100g은 반려견의 건강을 고려한 간식으로, 순수한 치킨 가슴살로 만들어졌습니다. 저지방, 고단백 성분으로 반려견의 건강을 지원하며, 부드럽고 씹기 좋은 식감으로 맛있게 즐길 수 있습니다. 간편한 포장으로 신선하게 유지되며, 반려견의 영양과 기분을 동시에 챙길 수 있는 제품입니다.",
웅자 하드 슬라이스 치킨 100g,4400,4400,0,100,하드 슬라이스 치킨 간식,D,2,z,351,D2z351,"웅자 하드 슬라이스 치킨 100g은 반려견을 위한 건강한 간식으로, 치킨을 슬라이스 형태로 건조하여 만들었습니다. 고단백, 저지방 성분으로 반려견의 체중 관리에 도움을 주며, 치아 건강에도 좋습니다. 하드한 질감이 치석 제거를 도와주며, 씹는 재미와 함께 영양을 제공합니다.",
시저 퍼피 쇠고기와 달걀 캔 3개입,6200,6200,0,3,쇠고기와 달걀 어린 강아지용 캔,D,1,z,352,D1z352,"시저 퍼피 쇠고기와 달걀 캔 3개입은 강아지를 위한 맛있는 캔 사료입니다. 쇠고기와 달걀을 사용하여 풍부한 단백질과 필수 영양소를 제공합니다. 부드러운 식감으로 강아지가 쉽게 먹을 수 있으며, 성장기에 필요한 영양을 균형 있게 공급합니다. 3개의 캔으로 간편하게 급여할 수 있습니다.",
펫스테이지우드스틱M 218,12600,12600,0,1,씹기 좋은 반려견 우드스틱,D,3,z,353,D3z353,"펫스테이지 우드스틱 M 218은 반려견의 씹는 본능을 만족시킬 수 있는 장난감입니다. 나무 소재로 만들어져 내구성이 뛰어나며, 강아지의 이빨과 잇몸 건강을 유지하는 데 도움을 줍니다. 다양한 질감이 반려견의 흥미를 유도하며, 씹는 재미와 함께 구강 건강을 챙길 수 있는 제품입니다.",
펫스테이지 오르카테니스볼 235,9000,9000,0,1,반려동물용 오르카테니스볼,D,3,z,354,D3z354,"펫스테이지 오르카 테니스볼 235는 반려견의 놀이 시간을 더욱 즐겁게 만들어주는 장난감입니다. 내구성이 강한 테니스볼로, 튼튼하게 제작되어 씹기와 던지기에 적합합니다. 놀이와 운동을 동시에 지원하며, 구강 건강에도 도움이 되는 제품입니다. 반려견의 에너지를 발산하고 즐거운 시간을 보낼 수 있습니다.",
츄리또-터키레그6~7x1P,6000,6000,0,1,터키레그 6~7x1P - 털 달려있는 터키 다리 한 개,D,2,z,355,D2z355,"츄리또-터키레그 6~7x1P는 반려견을 위한 자연 간식으로, 터키 고기 다리 부분을 사용하여 만들었습니다. 고단백, 저지방 성분으로 건강하게 간식을 즐길 수 있으며, 씹는 재미와 함께 치아 건강을 지원합니다. 천연 재료로 제조되어 안전하며, 반려견의 스트레스 해소와 기분 전환에 도움이 됩니다.",
시저14세 이상 닭고기와 쌀과 야채 캔 3개입,6200,6200,0,3,"14세 이상 시저 강아지용 닭고기, 쌀, 야채 캔 3팩",D,1,s,356,D1s356,"시저 14세 이상 닭고기와 쌀과 야채 캔 3개입은 노령견을 위한 영양 가득한 식사입니다. 신선한 닭고기와 부드러운 쌀, 다양한 야채가 조화롭게 어우러져 풍부한 맛과 영양을 제공합니다. 나이 든 반려견의 소화와 건강을 고려한 레시피로, 쉽게 소화되며 필수 비타민과 미네랄이 포함되어 있습니다. 3개입으로 간편하게 급여할 수 있습니다.",
시저 11세이상 닭고기 캔 3개입,6200,6200,0,3,11세 이상 시저 강아지용 닭고기 캔 3팩,D,1,s,357,D1s357,"시저 11세 이상 닭고기 캔 3개입은 중장년견을 위한 맛있는 식사입니다. 신선한 닭고기가 주 재료로 사용되어 고단백과 함께 부드러운 식감을 제공합니다. 나이가 든 강아지의 건강을 고려하여 영양이 균형 잡힌 레시피로, 쉽게 소화되고 맛있게 즐길 수 있습니다. 3개입으로 실용적이며, 건강한 식사로 반려견의 만족도를 높여줍니다.",
펫스테이지 우드스틱S 217,9900,9900,0,1,작은 크기의 반려견을 위한 우드스틱,D,3,z,358,D3z358,"펫스테이지 우드스틱 S 217은 강아지의 씹는 본능을 충족시키기 위한 장난감입니다. 내구성이 강한 나무 소재로 제작되어 강아지가 힘껏 씹어도 잘 부서지지 않습니다. 다양한 질감이 치아 건강을 돕고, 강아지의 놀이와 운동을 지원합니다. 작은 사이즈로 소형견에게 적합하며, 오랜 시간 동안 사용 가능한 장난감입니다.",
더독 수제 북어국,3500,3500,0,150,수제로 만든 북어국 강아지 간식,Z,1,z,359,Z1z359,"더독 수제 북어국은 반려견을 위한 건강한 간식으로, 신선한 북어를 사용하여 만든 국물입니다. 자연 재료로 만들어져 소화가 잘 되고, 반려견의 기호를 만족시킵니다. 북어의 풍미가 가득하며, 건강한 영양소를 제공하여 반려견의 건강을 지원합니다. 식사에 추가하거나 간식으로 제공하기에 좋은 제품입니다.",
펫퍼스 탈취제 베이비파우더향 500ml,5000,4000,0.2,500,베이비파우더 향의 반려동물 탈취제,Z,3,z,360,Z3z360,"펫퍼스 탈취제는 베이비파우더향으로 반려동물의 공간을 상쾌하게 만들어줍니다. 500ml의 대용량으로 넉넉하게 사용할 수 있으며, 강력한 탈취 성분이 악취를 효과적으로 제거합니다. 은은한 파우더향이 공간을 기분 좋게 만들어 주며, 사용이 간편하여 집안의 쾌적함을 유지하는 데 유용한 제품입니다.",
페슬러 묘설렘 참치맛,1700,1700,0,90,참치 맛의 묘설렘 간식,C,1,z,361,C1z361,"페슬러 묘설렘 참치맛은 고양이를 위한 맛있는 간식으로, 신선한 참치를 주 원료로 사용합니다. 고단백, 저지방 성분으로 건강을 고려하였으며, 부드럽고 촉촉한 질감으로 고양이의 미각을 사로잡습니다. 자연 재료로 만들어져 안전하고, 고양이의 기호에 맞춰 간편하게 제공할 수 있는 간식입니다.",
페디그리 치킨 캔 사료 700G,4500,4500,0,700,치킨으로 만든 페디그리 캔 사료 700g,D,1,z,362,D1z362,"페디그리 치킨 캔 사료 700g은 반려견을 위한 영양 가득한 식사입니다. 신선한 치킨을 주 원료로 사용하여 고단백 식사를 제공하며, 반려견의 건강을 지원합니다. 부드러운 식감과 풍부한 맛으로 강아지가 좋아하며, 700g의 대용량으로 경제적이고 실용적인 식사 솔루션을 제공합니다.",
쉬바 참치 흰살과 젤리 소스 85g,2400,2400,0,85,참치 흰살과 젤리 소스 쉬바 파우치 85g,C,1,z,363,C1z363,"쉬바 참치 흰살과 젤리 소스 85g은 고양이를 위한 고급 캔 간식입니다. 신선한 참치 흰살이 부드럽게 조리되어 젤리 소스와 함께 제공됩니다. 고양이의 미각을 만족시키는 맛과 질감으로, 건강한 단백질을 공급하며, 파우치 포장으로 신선함을 유지합니다. 간편하게 제공할 수 있는 고양이의 특별 간식입니다.",
웅자 하드 슬라이스 오리 300g,11900,11900,0,300,오리를 하드 슬라이스한 간식 300g,D,2,z,364,D2z364,"웅자 하드 슬라이스 오리 300g은 반려견을 위한 영양 간식으로, 오리를 슬라이스 형태로 건조하여 만들었습니다. 고단백, 저지방 성분으로 반려견의 건강을 지원하며, 씹기 좋은 질감이 치아 건강에도 도움을 줍니다. 300g의 대용량으로 오랜 시간 동안 제공할 수 있으며, 맛과 영양을 동시에 만족시키는 제품입니다.",
위스카스파우치 주니어 고등어 (80g*6개),6800,6800,0,480,주니어 고양이를 위한 고등어 파우치 80g씩 6개 포함,C,1,z,365,C1z365,"위스카스파우치 주니어 고등어 (80g*6개)는 고양이의 성장기와 활발한 생활을 위한 고급 캔 간식입니다. 신선한 고등어를 사용하여 풍부한 단백질과 오메가-3를 제공합니다. 부드럽고 맛있는 식감으로 고양이가 좋아하며, 6개입 패키지로 실용적이고 신선한 간식을 간편하게 제공할 수 있습니다.",
야채스낵육포말이,3500,3500,0,20,야채가 들어간 육포 말이 간식,D,2,z,366,D2z366,"야채스낵 육포말이는 반려견을 위한 건강한 간식으로, 신선한 육류와 다양한 야채를 조화롭게 말아 만든 제품입니다. 고단백 성분과 함께 비타민과 미네랄이 풍부하여 반려견의 건강을 지원하며, 씹는 재미와 영양을 동시에 제공합니다. 자연 재료로 만들어져 소화가 잘 되며, 간편하게 제공할 수 있는 맛있는 간식입니다.",
건강한 치즈볼 요거트 120g,6900,6900,0,120,치즈볼을 이용한 건강한 요거트 120g,D,2,z,367,D2z367,"건강한 치즈볼 요거트 120g은 반려동물을 위한 맛있는 간식으로, 치즈와 요거트가 조화롭게 어우러져 풍부한 맛을 제공합니다. 고단백, 저지방 성분으로 반려동물의 건강을 고려하였으며, 부드러운 질감으로 간편하게 제공할 수 있습니다. 영양가 있는 간식으로 반려동물의 기호를 만족시킬 수 있습니다.",
ANF 고양이참치무스캔 95G,1900,1900,0,95,고양이를 위한 참치 무스 캔 95g,C,1,z,368,C1z368,"ANF 고양이 참치 무스 캔 95g은 고양이를 위한 고급 간식으로, 신선한 참치로 만든 부드러운 무스 형태입니다. 고단백, 저지방 성분으로 고양이의 건강을 지원하며, 촉촉하고 부드러운 질감이 고양이의 미각을 자극합니다. 영양가가 풍부하고 소화가 잘 되는 제품으로, 고양이의 특별한 간식으로 적합합니다.",
덴탈라이프 트릿 치킨 캣 51g,4500,4500,0,51,치킨 맛의 치아 건강을 위한 고양이 간식 51g,C,2,z,369,C2z369,"덴탈라이프 트릿 치킨 캣 51g은 고양이의 구강 건강을 위해 설계된 간식입니다. 치킨 맛으로 고양이가 좋아하며, 특별한 질감이 치아와 잇몸을 청소하고 구강 건강을 유지하는 데 도움을 줍니다. 고단백 성분과 영양이 풍부하여 고양이의 건강한 식습관을 지원하며, 간편하게 제공할 수 있는 치아 관리 간식입니다.",
치카치카 우유 치실껌 M 45g,5700,5700,0,45,중형견을 위한 우유 맛 치실껌 45g,D,2,z,370,D2z370,"치카치카 우유 치실껌 M 45g은 반려동물의 치아 건강을 고려한 간식입니다. 우유 맛으로 반려동물이 좋아하며, 치아 사이의 이물질 제거와 플라그 감소에 도움을 줍니다. 부드러운 질감이 치아와 잇몸에 자극을 주어 청결하게 유지하며, 45g의 실용적인 패키지로 간편하게 사용할 수 있습니다.",
동원 뉴트리플랜 건강프로젝트 피부&모질 160g,1500,1500,0,160,반려견 피부와 모질 건강을 위한 건강프로젝트 160g,C,1,z,371,C1z371,"동원 뉴트리플랜 건강프로젝트 피부&모질 160g은 반려동물의 피부와 모질 건강을 위한 캔 사료입니다. 피부와 털 건강에 필요한 오메가-3와 오메가-6 지방산이 풍부하며, 비타민과 미네랄이 균형 잡혀 있습니다. 신선한 재료로 만들어져 맛과 영양이 뛰어나며, 반려동물의 건강을 유지하는 데 도움을 줍니다.",
콩 에어 테니스공 XS 3개입,7800,7800,0,3,초소형 강아지를 위한 콩 에어 테니스공 3개 포함,D,3,z,372,D3z372,"콩 에어 테니스공 XS 3개입은 소형견을 위한 튼튼한 장난감입니다. 내구성이 강한 테니스공으로, 반려견이 씹고 던지기에 적합합니다. 공 내부에 공기 주입으로 부드러운 질감을 제공하며, 뛰어난 튕김으로 반려견의 운동과 놀이를 지원합니다. 3개입 패키지로 여러 마리의 반려견이 함께 놀기 좋습니다.",
캣 울트라 프리미엄 참치&새우 캔 156g,4500,3150,0.3,156,프리미엄 참치와 새우 캔 156g,C,1,z,373,C1z373,"캣 울트라 프리미엄 참치&새우 캔 156g은 고양이를 위한 고급 간식입니다. 신선한 참치와 새우가 조화롭게 어우러져 풍부한 맛과 영양을 제공합니다. 고단백, 저지방 성분으로 고양이의 건강을 지원하며, 부드러운 식감이 고양이의 미각을 자극합니다. 영양가가 높아 고양이의 특별한 간식으로 적합합니다.",
바비온 전동 발톱다듬기,16500,16500,0,1,전동 발톱 다듬기 바비온 제품,Z,3,z,374,Z3z374,"바비온 전동 발톱 다듬기는 반려동물의 발톱 관리에 도움을 주는 편리한 도구입니다. 전동으로 작동하여 발톱을 빠르고 효과적으로 다듬을 수 있으며, 부드러운 그라인딩 기능으로 안전하게 사용 가능합니다. 편리한 디자인으로 사용이 간편하며, 반려동물의 발톱을 건강하게 유지하는 데 도움을 줍니다.",
포비스 단모 고양이 전용 샴푸&린스 300ml,11000,11000,0,300,단모 고양이를 위한 샴푸와 린스 300ml,C,3,z,375,C3z375,"포비스 단모 고양이 전용 샴푸&린스 300ml는 단모 고양이를 위한 전문 샴푸와 린스입니다. 부드럽고 순한 성분으로 피부 자극을 최소화하며, 모발에 윤기와 건강을 부여합니다. 샴푸와 린스가 함께 제공되어 간편하게 사용할 수 있으며, 고양이의 모질을 깨끗하고 건강하게 유지하는 데 도움을 줍니다.",
